id,entity_type,name,company_manufacturer,category,official_website_url,official_logo_url,runs_models,hardware_type_specs,release_year_status,description,source_name,source_url,,,,,,,,,,,,,
9e5ed4a1-6a4b-585e-8a36-fd6355c928bf,Device,Rabbit R1,Rabbit Inc.,AI Pocket Companion,https://www.rabbit.tech,https://www.google.com/s2/favicons?domain=www.rabbit.tech&sz=128,"Large Action Model (LAM), Perplexity AI, GPT-4o","MediaTek Helio P35, 2.88-inch Touchscreen, 360-degree Rotating Camera, Push-to-Talk Button, Analog Scroll Wheel",2024 / Available,A pocket-sized standalone AI device powered by a Large Action Model (LAM) designed to execute user tasks across mobile and web applications via natural language commands.,Official Product Site / Specifications,https://www.rabbit.tech,,,,,,,,,,,,,
5d75183c-6a7e-58cb-83bf-268dc91bc500,Device,Meta Ray-Ban Smart Glasses,Meta Platforms & Luxottica,Smart Glasses / AI Vision,https://www.meta.com/smart-glasses,https://www.google.com/s2/favicons?domain=www.meta.com&sz=128,"Meta Llama 3 Multimodal, Meta AI Assistant","Qualcomm Snapdragon AR1 Gen 1, 12 MP Ultra-Wide Camera, 5-Mic Array, Custom Open-Ear Speakers",2023 / Available,"Next-generation smart glasses featuring integrated Meta AI for multimodal visual processing, hands-free photo/video capture, real-time voice translation, and spatial audio.",Official Product Site / Specifications,https://www.meta.com/smart-glasses,,,,,,,,,,,,,
6d59c5c8-f18a-5d8d-9dbb-a34aaab89d6f,Device,Apple Vision Pro,Apple Inc.,Spatial Computing / Mixed Reality,https://www.apple.com/apple-vision-pro,https://www.google.com/s2/favicons?domain=www.apple.com&sz=128,"visionOS Spatial Machine Learning, On-Device Eye Tracking SLM","Dual-chip Apple M2 + R1 Processor, Micro-OLED 23M Pixel Displays, LiDAR Scanner, 12 Cameras, Spatial Audio Pods",2024 / Available,"A spatial computer that seamlessly blends digital content with the physical world using eye tracking, gesture recognition, and advanced spatial machine learning.",Official Product Site / Specifications,https://www.apple.com/apple-vision-pro,,,,,,,,,,,,,
a34d5dc4-7d57-534d-9e2c-090a018bcef1,Device,Brilliant Labs Frame,Brilliant Labs,Open-Source AI Glasses,https://brilliant.xyz,https://www.google.com/s2/favicons?domain=brilliant.xyz&sz=128,"Noa AI Agent, Whisper, Perplexity, Claude 3","Open-Source AR Glasses, MicroOLED Display, 1080p Camera, Integrated Microphone, nRF52840 BLE SoC, FPGA",2024 / Available,"An open-source, lightweight AI smart glasses hardware platform with integrated microOLED display and camera, powered by the Noa multi-model AI assistant.",Official Product Site / Specifications,https://brilliant.xyz,,,,,,,,,,,,,
a32de748-1e27-54f0-a2e5-4f1143ce8aa5,Device,Limitless Pendant,Limitless AI,AI Audio Wearable,https://www.limitless.ai,https://www.google.com/s2/favicons?domain=www.limitless.ai&sz=128,"Limitless Speech-to-Text Engine, Claude 3.5 Sonnet, GPT-4o","Wearable Magnetic Clasp, Multiple Beamforming Microphones, 100-Hour Battery, Aluminum Body, Bluetooth/Wi-Fi",2024 / Available,"A wearable audio recording clasp designed to continuously capture, transcribe, and summarize real-world meetings and conversations with consent-driven privacy controls.",Official Product Site / Specifications,https://www.limitless.ai,,,,,,,,,,,,,
7506088b-e7f6-5c50-b4ef-2f61541efd9b,Device,Plaud Note AI Recorder,Plaud.ai,AI Audio Recording Card,https://www.plaud.ai,https://www.google.com/s2/favicons?domain=www.plaud.ai&sz=128,"Whisper, GPT-4o, Claude 3.5 Sonnet","Ultra-thin Credit Card Form Factor, Dual-Engine Mic (Vibration Conduction + Air Conduction), 64GB Storage, 30-Hour Battery",2023 / Available,"An ultra-thin magnetic AI voice recorder card that records phone calls and ambient discussions, generating automated mind maps and structured summaries.",Official Product Site / Specifications,https://www.plaud.ai,,,,,,,,,,,,,
421052b1-d233-57b3-b21e-14a9d917043d,Device,NVIDIA Jetson Orin Nano Dev Kit,NVIDIA Corporation,Edge AI Developer Kit,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin,https://www.google.com/s2/favicons?domain=www.nvidia.com&sz=128,"TensorRT, Llama 3 Edge, YOLOv8, DeepStream","NVIDIA Ampere GPU with 1024 CUDA Cores, 32 Tensor Cores, 6-core ARM Cortex-A78AE CPU, up to 40 TOPS AI Performance",2023 / Available,"A compact edge AI development module capable of delivering up to 40 TOPS of AI performance for entry-level robotics, autonomous vision, and smart camera applications.",Official Product Site / Specifications,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin,,,,,,,,,,,,,
efd7ab6d-a3b4-5581-9b34-2be3d22991ce,Device,NVIDIA Jetson AGX Orin,NVIDIA Corporation,High-Performance Edge Computer,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin,https://www.google.com/s2/favicons?domain=www.nvidia.com&sz=128,"NVIDIA Isaac ROS, DeepStream, Llama 3 70B Quantized, TensorRT-LLM","NVIDIA Ampere Architecture GPU, 2048 CUDA Cores, 64 Tensor Cores, 12-core ARM CPU, 64GB LPDDR5, up to 275 TOPS",2022 / Available,"An industrial-grade edge AI supercomputer module providing up to 275 TOPS for autonomous robotics, medical devices, and intelligent edge analytics.",Official Product Site / Specifications,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin,,,,,,,,,,,,,
3b755f2f-8e43-5f2f-b9b9-d96224fe8e44,Device,Raspberry Pi AI Kit,Raspberry Pi Foundation & Hailo,Single Board Computer AI HAT,https://www.raspberrypi.com/products/ai-kit,https://www.google.com/s2/favicons?domain=www.raspberrypi.com&sz=128,"Hailo-8L Neural Processing Engine, MobileNet, YOLOv8, PoseNet","M.2 HAT+ for Raspberry Pi 5, Hailo-8L NPU, PCIe 2.0 interface, 13 TOPS Inferencing Performance",2024 / Available,An expansion kit for the Raspberry Pi 5 integrating a 13 TOPS Hailo-8L neural processing unit for energy-efficient local vision and AI inference.,Official Product Site / Specifications,https://www.raspberrypi.com/products/ai-kit,,,,,,,,,,,,,
dca2e123-5cba-5d97-b3c0-8e1aeb7318c3,Device,Hailo-8 M.2 AI Module,Hailo Technologies,Edge AI Acceleration Card,https://hailo.ai/products/ai-accelerators/hailo-8-m2-ai-acceleration-module,https://www.google.com/s2/favicons?domain=hailo.ai&sz=128,"Hailo Dataflow Compiler, ResNet, YOLOv5/v8, Transformer Edge","M.2 Key M Form Factor, PCIe Gen 3.0 2-lane, 26 TOPS AI Performance, 2.5W Power Efficiency",2021 / Available,"A high-performance M.2 edge AI acceleration card delivering up to 26 TOPS of neural processing for smart cities, industrial automation, and retail vision.",Official Product Site / Specifications,https://hailo.ai/products/ai-accelerators/hailo-8-m2-ai-acceleration-module,,,,,,,,,,,,,
